Data;Fator_NOV_2024
01/01/2008;2,57204
01/02/2008;2,55949
01/03/2008;2,54727
01/04/2008;2,53333
01/05/2008;2,51348
01/06/2008;2,49501
01/07/2008;2,48186
01/08/2008;2,47493
01/09/2008;2,46851
01/10/2008;2,45745
01/11/2008;2,44863
01/12/2008;2,44179
01/01/2009;2,43013
01/02/2009;2,41684
01/03/2009;2,41202
01/04/2009;2,4005
01/05/2009;2,38927
01/06/2009;2,3807
01/07/2009;2,375
01/08/2009;2,37144
01/09/2009;2,36576
01/10/2009;2,35916
01/11/2009;2,34952
01/12/2009;2,34086
01/01/2010;2,32344
01/02/2010;2,30546
01/03/2010;2,29354
01/04/2010;2,28053
01/05/2010;2,27077
01/06/2010;2,27077
01/07/2010;2,27054
01/08/2010;2,26964
01/09/2010;2,25947
01/10/2010;2,24265
01/11/2010;2,22419
01/12/2010;2,21027
01/01/2011;2,19207
01/02/2011;2,17467
01/03/2011;2,15763
01/04/2011;2,14114
01/05/2011;2,13112
01/06/2011;2,12793
01/07/2011;2,12453
01/08/2011;2,1167
01/09/2011;2,10554
01/10/2011;2,09652
01/11/2011;2,08568
01/12/2011;2,0753
01/01/2012;2,06375
01/02/2012;2,0545
01/03/2012;2,0502
01/04/2012;2,03716
01/05/2012;2,02985
01/06/2012;2,02823
01/07/2012;2,01955
01/08/2012;2,0113
01/09/2012;1,9999
01/10/2012;1,98817
01/11/2012;1,97631
01/12/2012;1,96082
01/01/2013;1,9441
01/02/2013;1,93251
01/03/2013;1,92346
01/04/2013;1,91294
01/05/2013;1,90589
01/06/2013;1,90095
01/07/2013;1,90038
01/08/2013;1,89583
01/09/2013;1,88922
01/10/2013;1,87851
01/11/2013;1,86842
01/12/2013;1,85139
01/01/2014;1,84126
01/02/2014;1,82865
01/03/2014;1,81198
01/04/2014;1,79992
01/05/2014;1,79168
01/06/2014;1,78454
01/07/2014;1,78436
01/08/2014;1,77991
01/09/2014;1,76982
01/10/2014;1,76242
01/11/2014;1,75348
01/12/2014;1,7399
01/01/2015;1,7186
01/02/2015;1,69788
01/03/2015;1,67576
01/04/2015;1,66395
01/05/2015;1,65173
01/06/2015;1,63878
01/07/2015;1,62868
01/08/2015;1,62511
01/09/2015;1,61638
01/10/2015;1,60323
01/11/2015;1,5872
01/12/2015;1,57211
01/01/2016;1,5524
01/02/2016;1,53855
01/03/2016;1,53197
01/04/2016;1,52268
01/05/2016;1,51089
01/06/2016;1,50562
01/07/2016;1,49783
01/08/2016;1,49127
01/09/2016;1,49008
01/10/2016;1,48621
01/11/2016;1,48354
01/12/2016;1,47911
01/01/2017;1,47351
01/02/2017;1,46866
01/03/2017;1,465
01/04/2017;1,46295
01/05/2017;1,45843
01/06/2017;1,46179
01/07/2017;1,45829
01/08/2017;1,45553
01/09/2017;1,4532
01/10/2017;1,44712
01/11/2017;1,44308
01/12/2017;1,43676
01/01/2018;1,4326
01/02/2018;1,42803
01/03/2018;1,42675
01/04/2018;1,42362
01/05/2018;1,41795
01/06/2018;1,4003
01/07/2018;1,3957
01/08/2018;1,39695
01/09/2018;1,39028
01/10/2018;1,38405
01/11/2018;1,38696
01/12/2018;1,38489
01/01/2019;1,38047
01/02/2019;1,37456
01/03/2019;1,36433
01/04/2019;1,3566
01/05/2019;1,35483
01/06/2019;1,3547
01/07/2019;1,35213
01/08/2019;1,35064
01/09/2019;1,35118
01/10/2019;1,34983
01/11/2019;1,34298
01/12/2019;1,32771
01/01/2020;1,32493
01/02/2020;1,32163
01/03/2020;1,3207
01/04/2020;1,32481
01/05/2020;1,32986
01/06/2020;1,32641
01/07/2020;1,32166
01/08/2020;1,31849
01/09/2020;1,31011
01/10/2020;1,29894
01/11/2020;1,28748
01/12/2020;1,27033
01/01/2021;1,26716
01/02/2021;1,25636
01/03/2021;1,24478
01/04/2021;1,24093
01/05/2021;1,23072
01/06/2021;1,22423
01/07/2021;1,21259
01/08/2021;1,20213
01/09/2021;1,18834
01/10/2021;1,17367
01/11/2021;1,16263
01/12/2021;1,1542
01/01/2022;1,148
01/02/2022;1,13652
01/03/2022;1,11841
01/04/2022;1,10667
01/05/2022;1,1015
01/06/2022;1,09417
01/07/2022;1,10166
01/08/2022;1,10564
01/09/2022;1,10885
01/10/2022;1,10235
01/11/2022;1,09785
01/12/2022;1,09108
01/01/2023;1,08533
01/02/2023;1,07629
01/03/2023;1,0687
01/04/2023;1,06222
01/05/2023;1,05979
01/06/2023;1,06063
01/07/2023;1,05936
01/08/2023;1,05693
01/09/2023;1,05419
01/10/2023;1,05167
01/11/2023;1,04873
01/12/2023;1,04289
01/01/2024;1,03853
01/02/2024;1,02998
01/03/2024;1,02833
01/04/2024;1,02444
01/05/2024;1,01975
01/06/2024;1,01761
01/07/2024;1,01376
01/08/2024;1,01396
01/09/2024;1,00952
01/10/2024;1,0039
01/11/2024;1
